id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,Year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
03FljfSHOV7b4FhnTvnlKn,Gr??nverjinn,4,249336,0,['Laddi'],['0PpNdAPMwg8OJTiNDYBDFp'],1/1/1990,1990,0.731,0.309,2,-13.884,1,0.168,0.668,0,0.821,0.841,120.998,4
03gGPnYpR06D808o67EMm6,Save Me,25,328827,0,['Big Country'],['1h8YIw9HLr6E8gdXVDRbVJ'],1/6/1990,1990,0.291,0.69,9,-11.074,0,0.0382,0.0185,0.000147,0.5,0.343,68.307,4
03HcvPAc1XDC4tvyFkmfj0,????????????,4,209827,0,"['?????????', 'David Ling Jr']","['0syPyuxQbXI2yIuKZIcPOp', '5ElXLkDzZPQA9fBzBjA9TJ']",25/1/1990,1990,0.566,0.783,10,-11.128,1,0.0432,0.00988,3.92E-06,0.0833,0.454,200.119,4
03HF18PyO2aob3htRSW0js,070 - Wer hat Tims Mutter entf??hrt? - Teil 24,27,98640,0,['TKKG Retro-Archiv'],['0i38tQX5j4gZ0KS3eCMoIl'],1/2/1990,1990,0.69,0.485,0,-10.645,1,0.938,0.457,0,0.582,0.753,80.982,4
03IpQ8Z0pqhlQfcZjQ3Sis,Fantasy - Club Mix,24,418574,0,['Black Box'],['6tsRo8ErXzpHk3tQeH6GBW'],23/7/1990,1990,0.56,0.717,4,-9.082,0,0.0519,0.00724,0.0251,0.344,0.65,191.273,4
03iVkiiPAFaAgc3qrwrzNa,Monie in the Middle,34,224827,0,['Monie Love'],['7dupCiguCFkYZRisA3foPu'],20/10/1990,1990,0.776,0.69,10,-13.493,0,0.0473,0.00268,0.000866,0.0548,0.694,115.039,4
03JbeiZ9gGggLdcDsOly5W,No Me Digas Que No,19,177707,0,['Ratones Paranoicos'],['5fVtUielMhdztOA34ArB6c'],27/6/1990,1990,0.652,0.722,2,-7.526,1,0.0367,0.234,0.0237,0.179,0.787,114.789,4
03JHOL3soF7VRP57vqH2jg,???????? ????????????,5,312827,0,"['Rami Fortis', 'Berry Sakharof', 'Fortisakharof']","['2PkcEZnrJ3i1f5iJN834mn', '2wp6i8BxLF3UrF1J3LY4WC', '0RKyXoXuD0EdJmFJ6hsmnW']",1/1/1990,1990,0.667,0.757,0,-10.855,1,0.028,0.0521,0.0011,0.0982,0.963,129.99,4
03kegIbYtcAVniyTKKPHlN,Aber dich gibt's nur einmal f??r mich,28,199933,0,['Max Greger & Orchester'],['7nitPLGBMwAVCKSQGMXqNU'],1/1/1990,1990,0.615,0.464,10,-11.476,1,0.0252,0.633,0.9,0.236,0.562,102.154,3
03mG8gRIri8ZO92bYmcERo,Filosof??a Barata y Zapatos de Goma,37,231733,0,['Charly Garc??a'],['3jO7X5KupvwmWTHGtHgcgo'],7/5/1990,1990,0.588,0.404,9,-15.656,0,0.0352,0.0923,0.0271,0.0613,0.206,100.16,4
